id,Taxa,order,species,hunting,redlist
1,amphibians,ANURA,Amolops_afghanus,Non_hunted,Non-threatened
2,amphibians,ANURA,Amolops_aniqiaoensis,Non_hunted,Non-threatened
3,amphibians,ANURA,Amolops_bellulus,Non_hunted,Non-threatened
4,amphibians,ANURA,Amolops_caelumnoctis,Non_hunted,Non-threatened
5,amphibians,ANURA,Amolops_chunganensis,Hunted,Non-threatened
6,amphibians,ANURA,Amolops_daiyunensis,Non_hunted,Non-threatened
7,amphibians,ANURA,Amolops_gerbillus,Non_hunted,Non-threatened
8,amphibians,ANURA,Amolops_granulosus,Non_hunted,Non-threatened
9,amphibians,ANURA,Amolops_hainanensis,Hunted,Threatened
10,amphibians,ANURA,Amolops_hongkongensis,Non_hunted,Threatened
11,amphibians,ANURA,Amolops_jinjiangensis,Non_hunted,Threatened
12,amphibians,ANURA,Amolops_lifanensis,Non_hunted,Non-threatened
13,amphibians,ANURA,Amolops_loloensis,Hunted,Threatened
14,amphibians,ANURA,Amolops_mantzorum,Non_hunted,Non-threatened
15,amphibians,ANURA,Amolops_marmoratus,Non_hunted,Non-threatened
16,amphibians,ANURA,Amolops_medogensis,Non_hunted,Non-threatened
17,amphibians,ANURA,Amolops_mengyangensis,Non_hunted,Non-threatened
18,amphibians,ANURA,Amolops_monticola,Non_hunted,Non-threatened
19,amphibians,ANURA,Amolops_ricketti,Hunted,Non-threatened
20,amphibians,ANURA,Amolops_splendissimus,Non_hunted,Threatened
21,amphibians,ANURA,Amolops_torrentis,Non_hunted,Threatened
22,amphibians,ANURA,Amolops_tuberodepressus,Non_hunted,Threatened
23,amphibians,ANURA,Amolops_viridimaculatus,Non_hunted,Non-threatened
24,amphibians,ANURA,Amolops_wuyiensis,Non_hunted,Non-threatened
25,amphibians,CAUDATA,Andrias_davidianus,Hunted,Threatened
26,amphibians,ANURA,Babina_adenopleura,Non_hunted,Non-threatened
27,amphibians,ANURA,Babina_chapaensis,Non_hunted,Non-threatened
28,amphibians,ANURA,Babina_daunchina,Non_hunted,Non-threatened
29,amphibians,ANURA,Babina_hainanensis,Non_hunted,Non-threatened
30,amphibians,ANURA,Babina_lini,Non_hunted,Non-threatened
31,amphibians,ANURA,Babina_okinavana,Non_hunted,Threatened
32,amphibians,ANURA,Babina_pleuraden,Non_hunted,Non-threatened
33,amphibians,CAUDATA,Batrachuperus_karlschmidti,Non_hunted,Threatened
34,amphibians,CAUDATA,Batrachuperus_londongensis,Non_hunted,Threatened
35,amphibians,CAUDATA,Batrachuperus_pinchonii,Hunted,Threatened
36,amphibians,CAUDATA,Batrachuperus_tibetanus,Non_hunted,Threatened
